ID Struk,Waktu Transaksi,Menu,Jumlah,Harga Satuan,Info Kasir
TRX-2001,2026-05-10 07:15:00,Espresso,1,15000,Budi
TRX-2001,2026-05-10 07:15:00,Croissant Butter,2,25000,Budi
TRX-2002,2026-05-10 07:30:00,Kopi Susu Gula Aren,1,20000,Budi
TRX-2003,2026-05-10 08:05:00,Americano Panas,2,18000,Siti
TRX-2003,2026-05-10 08:05:00,Roti Bakar Coklat,1,15000,Siti
TRX-2004,10/05/2026 08:45:00,Matcha Latte,1,22000,Siti
TRX-2005,2026-05-10 09:10:00,Kopi Susu Gula Aren,3,20000,Budi
TRX-2005,2026-05-10 09:10:00,Kopi Susu Gula Aren,3,20000,Budi
TRX-2006,2026-05-10 10:00:00,Cappuccino,1,20000,Budi
TRX-2007,2026-05-10 11:30:00,V60 Manual Brew,1,25000,Siti
TRX-2008,2026-05-10 12:15:00,Nasi Goreng Spesial,2,30000,Siti
TRX-2008,2026-05-10 12:15:00,Es Teh Manis,2,8000,Siti
TRX-2009,10-05-2026 13:00:00,Kopi Susu Gula Aren,1,20000,Budi
TRX-2010,2026-05-10 14:20:00,Red Velvet Latte,1,22000,Budi
TRX-2011,2026-05-10 15:45:00,Americano Dingin,1,20000,Siti
TRX-2012,2026-05-10 16:30:00,Croissant Almond,1,28000,Siti
TRX-2012,2026-05-10 16:30:00,Espresso,1,15000,Siti
TRX-2013,2026-05-10 17:10:00,Kopi Susu Gula Aren,4,20000,Budi
TRX-2014,2026-05-10 18:05:00,Matcha Latte,2,22000,Budi
TRX-2014,2026-05-10 18:05:00,Roti Bakar Keju,1,18000,Budi
TRX-2015,2026-05-11 07:20:00,Cappuccino,1,20000,Budi
TRX-2016,2026-05-11 08:00:00,Kopi Susu Gula Aren,2,20000,Siti
TRX-2016,2026-05-11 08:00:00,Kopi Susu Gula Aren,2,20000,Siti
TRX-2017,2026-05-11 09:15:00,Americano Panas,1,18000,Budi
TRX-2017,2026-05-11 09:15:00,Croissant Butter,1,25000,Budi
TRX-2018,2026-05-11 10:30:00,V60 Manual Brew,2,25000,Siti
TRX-2019,2026-05-11 11:45:00,Es Teh Manis,3,8000,Budi
TRX-2020,11/05/2026 12:30:00,Nasi Goreng Spesial,1,30000,Siti
TRX-2020,11/05/2026 12:30:00,Kopi Susu Gula Aren,1,20000,Siti
TRX-2021,2026-05-11 13:15:00,Red Velvet Latte,2,22000,Budi
TRX-2022,2026-05-11 14:00:00,Espresso,1,15000,Siti
TRX-2023,2026-05-11 15:20:00,Cappuccino,2,20000,Budi
TRX-2024,2026-05-11 16:45:00,Matcha Latte,1,22000,Siti
TRX-2024,2026-05-11 16:45:00,Roti Bakar Coklat,2,15000,Siti
TRX-2025,2026-05-11 17:30:00,Kopi Susu Gula Aren,5,20000,Budi
